iter	Passed	Remaining
807	1519	360
808	1520	359
809	1522	357
810	1524	355
811	1526	353
812	1527	351
813	1529	349
814	1531	347
815	1533	345
816	1535	343
817	1536	341
818	1538	340
819	1541	338
820	1543	336
821	1544	334
822	1547	332
823	1548	330
824	1550	328
825	1552	327
826	1554	325
827	1558	323
828	1560	321
829	1562	319
830	1564	318
831	1567	316
832	1569	314
833	1571	312
834	1574	311
835	1576	309
836	1578	307
837	1579	305
838	1581	303
839	1583	301
840	1584	299
841	1586	297
842	1588	295
843	1590	293
844	1592	292
845	1594	290
846	1596	288
847	1597	286
848	1599	284
849	1601	282
850	1603	280
851	1605	278
852	1607	276
853	1609	275
854	1610	273
855	1612	271
856	1614	269
857	1616	267
858	1618	265
859	1619	263
860	1622	261
861	1623	259
862	1625	258
863	1627	256
864	1628	254
865	1630	252
866	1632	250
867	1634	248
868	1636	246
869	1638	244
870	1639	242
871	1641	240
872	1643	239
873	1645	237
874	1647	235
875	1648	233
876	1651	231
877	1653	229
878	1654	227
879	1656	225
880	1658	224
881	1660	222
882	1661	220
883	1663	218
884	1666	216
885	1668	214
886	1669	212
887	1671	210
888	1673	208
889	1675	207
890	1677	205
891	1679	203
892	1681	201
893	1683	199
894	1685	197
895	1686	195
896	1688	193
897	1690	191
898	1691	190
899	1693	188
900	1695	186
901	1697	184
902	1699	182
903	1701	180
904	1703	178
905	1705	176
906	1707	175
907	1709	173
908	1711	171
909	1712	169
910	1714	167
911	1716	165
912	1718	163
913	1720	161
914	1722	160
915	1724	158
916	1726	156
917	1728	154
918	1730	152
919	1732	150
920	1736	148
921	1738	147
922	1740	145
923	1742	143
924	1744	141
925	1745	139
926	1749	137
927	1752	135
928	1754	134
929	1756	132
930	1759	130
931	1761	128
932	1763	126
933	1765	124
934	1769	122
935	1772	121
936	1776	119
937	1779	117
938	1781	115
939	1783	113
940	1786	111
941	1787	110
942	1791	108
943	1794	106
944	1796	104
945	1798	102
946	1800	100
947	1801	98
948	1803	96
949	1807	95
950	1809	93
951	1811	91
952	1813	89
953	1815	87
954	1817	85
955	1818	83
956	1822	81
957	1824	79
958	1826	78
959	1828	76
960	1830	74
961	1832	72
962	1833	70
963	1837	68
964	1840	66
965	1842	64
966	1844	62
967	1845	61
968	1847	59
969	1849	57
970	1851	55
971	1853	53
972	1856	51
973	1858	49
974	1859	47
975	1861	45
976	1863	43
977	1865	41
978	1869	40
979	1871	38
980	1873	36
981	1875	34
982	1877	32
983	1878	30
984	1880	28
985	1885	26
986	1888	24
987	1891	22
988	1893	21
989	1895	19
990	1897	17
991	1900	15
992	1903	13
993	1904	11
994	1906	9
995	1908	7
996	1910	5
997	1913	3
998	1916	1
999	1918	0
