Company_Rating,Salary,Skills,Seniority,Job_type,Salary_Source,Location
4.3,700000,"['Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,India
3.7,800000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.6,700000,"['Machine_Learning', 'Python', 'SQL']",Staff_Principal,Data_Scientist,Glassdoor,Chennai
3.4,900000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,India
3.7,300000,"['Machine_Learning', 'Python', 'SQL']",Senior,Data_Scientist,Glassdoor,Bengaluru
5.0,800000,"['Python', 'SQL', 'Machine_Learning', 'NLP', 'AI']",Intern,Data_Scientist,Glassdoor,Gurgaon
4.8,2000000,"['Machine_Learning', 'Python', 'SQL']",Senior,Data_Scientist,Glassdoor,Remote
4.0,120000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Mumbai
4.1,600000,"['Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Hyderabad
3.8,600000,"['Python', 'Statistics', 'Machine_Learning', 'Deep_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.4,600000,['Machine_Learning'],Intern,Data_Scientist,Glassdoor,Bengaluru
3.7,600000,"['Python', 'R', 'SQL', 'TensorFlow', 'PyTorch', 'Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.8,1500000,"['Python', 'R', 'SQL', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Other
4.0,800000,"['Machine_Learning', 'Python', 'SQL']",Senior,Data_Scientist,Glassdoor,Bengaluru
3.6,300000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.9,700000,"['Python', 'R', 'SQL', 'TensorFlow', 'PyTorch', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Other
5.0,800000,"['Python', 'SQL', 'Machine_Learning', 'Deep_Learning', 'NLP', 'AI', 'Cloud_Platforms']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.9,400000,"['Python', 'R', 'Statistics', 'Machine_Learning', 'Deep_Learning']",Intern,Data_Scientist,Glassdoor,Chennai
4.0,500000,['R'],Intern,Data_Scientist,Glassdoor,Bengaluru
3.6,600000,"['Python', 'TensorFlow', 'PyTorch', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.8,300000,"['Machine_Learning', 'Python', 'SQL']",Intern,ML_Engineer,Glassdoor,Bengaluru
3.9,1800000,"['Python', 'SQL']",Senior,Data_Scientist,Employer,India
4.7,1000000,"['SQL', 'Statistics']",Intern,Data_Scientist,Glassdoor,Pune
3.7,500000,"['Machine_Learning', 'Python', 'SQL']",Junior_Associate,Data_Scientist,Glassdoor,Bengaluru
3.6,700000,"['Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.7,500000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.8,300000,['Data_Analysis'],Intern,Data_Scientist,Glassdoor,Gurgaon
3.7,800000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.2,700000,"['Python', 'R', 'SQL', 'Data_Analysis', 'Statistics', 'Machine_Learning', 'NLP', 'Cloud_Platforms']",Senior,Data_Scientist,Glassdoor,Mumbai
4.1,600000,['AI'],Intern,Data_Scientist,Glassdoor,Bengaluru
3.5,1000000,"['Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Chennai
3.9,900000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Gurgaon
4.3,800000,['Machine_Learning'],Intern,Data_Scientist,Glassdoor,India
3.8,700000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Pune
4.0,600000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.7,500000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Mumbai
3.9,900000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.2,400000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Chennai
4.0,600000,['Machine_Learning'],Intern,ML_Engineer,Glassdoor,Chennai
3.5,600000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,India
3.8,500000,"['Machine_Learning', 'Deep_Learning']",Senior,Data_Scientist,Glassdoor,Chennai
3.9,900000,"['Python', 'R', 'TensorFlow', 'PyTorch', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Chennai
2.6,400000,['Machine_Learning'],Intern,Data_Scientist,Glassdoor,Hyderabad
3.4,500000,"['Python', 'R', 'Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Other
3.8,600000,['Statistics'],Senior,Data_Scientist,Glassdoor,Chennai
3.9,829864,['Machine_Learning'],Junior_Associate,ML_Engineer,Glassdoor,India
3.6,800000,['R'],Intern,Data_Scientist,Glassdoor,Ahmedabad
4.1,600000,"['Machine_Learning', 'Python', 'SQL']",Senior,Data_Scientist,Glassdoor,Hyderabad
3.9,900000,"['Python', 'R', 'SQL', 'TensorFlow', 'PyTorch', 'Data_Analysis', 'Statistics', 'Machine_Learning', 'Cloud_Platforms']",Intern,Data_Scientist,Glassdoor,India
3.8,600000,['Cloud_Platforms'],Intern,Data_Scientist,Glassdoor,India
3.6,600000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,Other
3.9,600000,"['Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Pune
4.2,800000,['Machine_Learning'],Intern,Data_Scientist,Glassdoor,Other
3.9,1030892,"['Python', 'R', 'SQL', 'TensorFlow', 'PyTorch', 'Machine_Learning', 'Deep_Learning', 'AI', 'Cloud_Platforms']",Intern,ML_Engineer,Glassdoor,Other
3.7,600000,"['Machine_Learning', 'Python', 'SQL']",Lead_Manager,Data_Scientist,Glassdoor,Gurgaon
3.9,2400000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,Bengaluru
3.8,500000,"['Machine_Learning', 'Python', 'SQL']",Junior_Associate,Data_Scientist,Glassdoor,Gurgaon
4.1,800000,"['Python', 'TensorFlow', 'PyTorch', 'Machine_Learning', 'NLP', 'AI', 'Cloud_Platforms']",Intern,Data_Scientist,Glassdoor,Gurgaon
3.3,800000,"['Machine_Learning', 'Python', 'SQL']",Senior,Data_Scientist,Glassdoor,Hyderabad
3.8,800000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.8,600000,"['Python', 'Statistics', 'Machine_Learning', 'Deep_Learning']",Intern,Data_Scientist,Glassdoor,Gurgaon
