Rating,Size,Industry,Sector,Ownership,Revenue,min_salary,max_salary,avg_salary,age,python,spark,aws,excel,LLMs,sql,Job_simp,seniority
3.0,51 - 200 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,2,6,4,15.0,0,0,0,0,0,0,data scientist,na
3.4,10000+ Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,4,30,17,15.0,0,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,3,4,3,15.0,1,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Internet & Web Services,Information Technology,Company - Private,2000 - 5000 million ,32,48,40,20.0,0,0,0,0,0,0,data scientist,na
3.7,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,10,10,10,46.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,2,10,6,37.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Transportation Equipment Manufacturing,Manufacturing,Company - Public,10000+ million ,7,9,8,121.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,2,10,6,121.0,0,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,3,8,5,121.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,4,30,17,121.0,1,1,0,0,0,0,data scientist,na
4.1,10000+ Employees,Machinery Manufacturing,Manufacturing,Company - Public,10000+ million ,9,9,9,135.0,1,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Internet & Web Services,Information Technology,Company - Public,10000+ million ,2,10,6,26.0,0,0,0,0,0,0,data scientist,na
4.2,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,3,6,4,14.0,0,1,0,0,0,0,data scientist,na
3.7,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,3,8,5,43.0,1,0,0,1,1,1,data scientist,na
4.0,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,4,30,17,43.0,0,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,14,14,14,43.0,1,0,0,0,0,1,data scientist,na
4.1,201 - 500 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,4,30,17,43.0,0,0,0,0,0,0,data scientist,na
4.0,5001 - 10000 Employees,Enterprise Software & Network Solutions,Information Technology,Subsidiary or Business Segment,2000 - 5000 million ,48,66,57,21.0,0,0,0,0,0,0,data scientist,senior
4.0,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,4,30,17,21.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,2,10,6,21.0,1,0,1,0,0,0,data scientist,na
4.2,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,7,10,8,85.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,2,10,6,85.0,0,0,0,0,0,0,na,na
3.9,1 - 50 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,3,7,5,85.0,0,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,5,18,11,85.0,1,0,0,0,0,0,data engineer,na
3.4,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,5000 - 10000 million ,6,7,6,101.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,5,17,11,101.0,0,0,0,0,0,0,data scientist,na
4.1,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,4,30,17,101.0,0,0,0,0,0,0,data scientist,na
3.6,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,8,9,8,10.0,0,0,1,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,4,5,4,10.0,1,0,0,0,0,0,data scientist,na
4.4,201 - 500 Employees,Business consulting,Finance,Company - Private,10000+ million ,4,30,17,117.0,1,0,0,0,0,1,data scientist,na
3.9,201 - 500 Employees,Transportation Equipment Manufacturing,Manufacturing,Company - Private,10000+ million ,10,10,10,6.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Business consulting,Management and consulting,Company - Public,10000+ million ,2,10,6,6.0,1,0,0,0,0,0,analyst,na
