Rating,Size,Industry,Sector,Ownership,Revenue,avg_salary,age,python,spark,aws,excel,LLMs,sql,Job_simp,seniority
4.4,201 - 500 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Public,100 - 500 million ,17,12.0,1,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Software Development,Information Technology,Company - Public,5 - 25 million ,2,12.0,0,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,13,43.0,1,0,0,0,0,1,data scientist,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,2000 - 5000 million ,3,42.0,1,1,0,1,0,1,na,na
4.0,1001 - 5000 Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,15,5.0,0,0,0,0,0,0,na,na
4.1,1 - 50 Employees,Business consulting,Information Technology,Company - Private,2000 - 5000 million ,5,26.0,0,0,0,0,0,0,data scientist,senior
3.8,10000+ Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Public,100 - 500 million ,17,9.0,0,1,0,0,0,0,na,na
4.0,5001 - 10000 Employees,Advertising & Public Relations,Media and communication,Subsidiary or Business Segment,2000 - 5000 million ,8,55.0,0,0,0,0,0,0,manager,na
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,12,101.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,6,25.0,0,0,0,0,0,0,data scientist,senior
4.3,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,17,48.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Finance,Company - Public,2000 - 5000 million ,6,5.0,1,0,0,1,0,0,na,na
4.0,1001 - 5000 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,6,39.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Information Technology Support Services,Finance,Company - Private,2000 - 5000 million ,4,4.0,0,0,0,0,0,0,na,na
3.7,1001 - 5000 Employees,Advertising & Public Relations,Media and communication,Company - Public,100 - 500 million ,7,17.0,0,0,0,0,0,0,mle,na
3.4,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,5000 - 10000 million ,6,101.0,0,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,6,47.0,0,0,0,0,0,0,na,na
3.9,10000+ Employees,Transportation Equipment Manufacturing,Manufacturing,Company - Public,10000+ million ,6,109.0,0,0,0,0,0,0,analyst,na
3.7,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,5,43.0,1,0,0,1,1,1,data scientist,na
3.8,10000+ Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,6.0,0,0,0,0,0,0,na,na
3.7,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,17,10.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Transportation Equipment Manufacturing,Manufacturing,Company - Public,10000+ million ,4,17.0,1,0,1,0,0,0,data scientist,na
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,100 - 500 million ,5,41.0,0,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Business consulting,Finance,Company - Private,10000+ million ,17,5.0,1,0,0,0,0,1,data scientist,na
3.9,201 - 500 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,17,6.0,0,0,0,0,0,0,na,na
4.1,201 - 500 Employees,Business consulting,Finance,Company - Public,100 - 500 million ,17,105.0,0,0,0,0,0,0,na,na
4.4,1001 - 5000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,3,13.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,2000 - 5000 million ,8,31.0,0,0,0,1,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,6,49.0,0,0,0,0,0,0,data scientist,na
4.1,1001 - 5000 Employees,Enterprise Software & Network Solutions,Information Technology,Subsidiary or Business Segment,2000 - 5000 million ,5,34.0,1,0,0,0,0,0,data scientist,senior
4.0,10000+ Employees,Business consulting,Finance,Company - Private,10000+ million ,17,188.0,0,0,0,1,0,0,manager,na
4.2,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,4,14.0,0,1,0,0,0,0,data scientist,na
4.0,10000+ Employees,Business consulting,Finance,Company - Private,10000+ million ,17,39.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,100 - 500 million ,17,24.0,1,1,0,1,0,1,na,na
4.4,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,2000 - 5000 million ,17,45.0,0,0,0,0,0,0,mle,na
4.0,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,4,24.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,15,45.0,0,0,0,0,0,0,data scientist,senior
4.0,10000+ Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Public,2000 - 5000 million ,17,66.0,0,0,0,0,0,0,na,senior
4.5,201 - 500 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,100 - 500 million ,12,10.0,0,0,0,1,0,0,data scientist,na
4.3,51 - 200 Employees,Internet & Web Services,Information Technology,Company - Private,10000+ million ,5,6.0,0,0,0,0,0,0,data scientist,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,4,49.0,0,0,1,0,0,0,na,senior
4.5,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,2000 - 5000 million ,9,8.0,0,0,0,0,0,0,mle,na
2.6,10000+ Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,5.0,0,0,1,0,0,0,mle,na
4.0,1001 - 5000 Employees,Software Development,Information Technology,Company - Private,10000+ million ,6,11.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,19.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Finance,Company - Public,10000+ million ,6,28.0,0,0,0,0,0,0,mle,na
4.1,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,12.0,0,0,0,0,0,0,data scientist,senior
4.7,51 - 200 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,5,49.0,0,0,0,0,0,0,data scientist,senior
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,4,84.0,0,0,0,0,0,0,analyst,na
4.0,10000+ Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,17,8.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,2,225.0,0,0,0,0,0,0,mle,na
4.0,1001 - 5000 Employees,Business consulting,Finance,Company - Public,10000+ million ,17,334.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Business consulting,Management and consulting,Company - Public,2000 - 5000 million ,7,45.0,0,0,0,0,0,0,na,senior
3.9,1001 - 5000 Employees,Research and development,Management and consulting,Company - Public,5000 - 10000 million ,8,37.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Information Technology Support Services,Finance,Company - Public,100 - 500 million ,17,27.0,0,0,0,0,0,0,data engineer,na
4.2,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,2,5.0,0,0,0,0,0,0,data scientist,na
3.9,201 - 500 Employees,Transportation Equipment Manufacturing,Manufacturing,Company - Private,10000+ million ,10,6.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,6,47.0,0,1,0,0,0,0,data scientist,na
4.1,501 - 1000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,25 - 50 million ,7,10.0,0,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,6,85.0,0,0,0,0,0,0,na,na
4.2,10000+ Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Public,10000+ million ,17,225.0,0,0,0,0,0,0,data scientist,senior
4.0,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,17,21.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,12,14.0,1,0,0,0,0,1,data scientist,na
4.2,10000+ Employees,Information Technology Support Services,Finance,Company - Public,100 - 500 million ,17,41.0,0,1,0,0,0,0,data scientist,senior
4.1,10000+ Employees,Machinery Manufacturing,Manufacturing,Company - Public,10000+ million ,9,135.0,0,0,0,0,1,0,data scientist,senior
4.2,5001 - 10000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,1 - 5 million ,7,38.0,0,0,0,0,0,0,data scientist,na
4.1,201 - 500 Employees,Business consulting,Information Technology,Company - Public,10000+ million ,17,25.0,0,0,0,0,0,0,data scientist,senior
4.0,1 - 50 Employees,Information Technology Support Services,Finance,Company - Private,2000 - 5000 million ,5,19.0,0,0,0,0,0,0,data scientist,na
4.6,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,32,10.0,0,0,0,0,1,0,data scientist,na
4.1,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,10,6.0,1,0,0,0,0,1,data scientist,na
4.2,51 - 200 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,17,10.0,0,0,0,0,0,0,data scientist,na
3.7,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,5 - 25 million ,22,9.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,26,9.0,0,0,1,0,0,0,data scientist,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,5,49.0,0,0,1,0,0,0,na,na
4.1,51 - 200 Employees,HR Consulting,Human resources and staffing,Private Practice / Firm,2000 - 5000 million ,2,26.0,0,0,0,0,0,0,data scientist,na
4.1,1001 - 5000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,4,56.0,0,0,0,0,0,0,data scientist,senior
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,7,49.0,0,0,1,0,1,0,na,na
4.1,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,100 - 500 million ,8,24.0,1,0,0,0,0,1,data scientist,na
4.6,51 - 200 Employees,HR Consulting,Human resources and staffing,Company - Private,10000+ million ,7,18.0,0,0,0,0,0,0,na,na
3.6,5001 - 10000 Employees,Advertising & Public Relations,Media and communication,Company - Public,10000+ million ,6,12.0,0,0,0,0,0,0,na,na
4.0,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,5,7.0,1,0,0,0,0,0,data scientist,na
4.1,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,2000 - 5000 million ,17,66.0,0,0,0,0,0,0,data scientist,senior
3.9,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,8,334.0,0,0,0,0,0,0,mle,na
3.6,10000+ Employees,Investment & Asset Management,Finance,Company - Public,10000+ million ,8,240.0,0,0,0,1,0,0,data scientist,na
4.3,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,8,8.0,0,0,0,0,0,0,data scientist,senior
4.0,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,5,49.0,1,0,0,0,0,0,data scientist,na
