Rating,Size,Industry,Sector,Ownership,Revenue,avg_salary,age,python,spark,aws,excel,LLMs,sql,Job_simp,seniority
3.8,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,6,47.0,0,0,0,0,0,0,data scientist,senior
3.9,10000+ Employees,Electronics Manufacturing,Manufacturing,Company - Public,10000+ million ,8,17.0,1,0,1,0,0,1,data scientist,na
3.8,5001 - 10000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,2000 - 5000 million ,5,14.0,0,0,0,0,0,0,data scientist,senior
3.8,10000+ Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,17,26.0,0,0,0,0,0,0,data scientist,senior
4.2,51 - 200 Employees,Business consulting,Management and consulting,Company - Private,2000 - 5000 million ,7,10.0,0,0,1,0,0,0,data scientist,senior
3.7,10000+ Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,17,8.0,0,0,0,0,0,0,data scientist,na
3.9,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,100 - 500 million ,7,27.0,0,1,0,0,0,1,data scientist,na
4.0,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,2,225.0,0,0,0,0,0,0,mle,na
4.2,10000+ Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,17,4.0,0,0,0,1,0,0,data scientist,na
4.2,501 - 1000 Employees,Banking & Lending,Finance,Company - Private,2000 - 5000 million ,10,13.0,0,0,0,0,0,0,data scientist,senior
3.9,10000+ Employees,Transportation Equipment Manufacturing,Manufacturing,Company - Public,10000+ million ,4,109.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,5,113.0,1,0,0,1,0,0,data scientist,na
4.4,201 - 500 Employees,Software Development,Information Technology,Company - Public,2000 - 5000 million ,5,9.0,0,0,0,0,1,0,data scientist,na
5.0,1 - 50 Employees,HR Consulting,Human resources and staffing,Company - Private,10000+ million ,9,5.0,1,0,0,0,0,0,mle,na
4.5,10000+ Employees,Business consulting,Information Technology,Company - Private,10000+ million ,17,79.0,0,0,0,0,0,0,data scientist,na
3.5,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,5 - 25 million ,9,7.0,0,0,0,0,0,0,mle,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,10,49.0,0,0,1,0,0,0,na,senior
4.0,51 - 200 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,2000 - 5000 million ,5,37.0,0,0,0,0,0,0,mle,na
3.7,10000+ Employees,Business consulting,Information Technology,Company - Public,2000 - 5000 million ,17,22.0,1,1,0,1,1,0,na,na
4.0,201 - 500 Employees,Business consulting,Finance,Company - Public,10000+ million ,4,49.0,0,0,0,0,0,0,data scientist,na
4.1,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,17,53.0,0,0,0,0,0,0,mle,na
4.0,10000+ Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,21.0,0,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,6,21.0,1,0,0,0,0,0,mle,na
4.0,1001 - 5000 Employees,Business consulting,Information Technology,Company - Public,2000 - 5000 million ,2,26.0,0,0,0,0,1,0,data scientist,senior
3.8,10000+ Employees,Information Technology Support Services,Finance,Company - Public,100 - 500 million ,17,24.0,0,0,0,0,0,0,data scientist,senior
3.9,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Public,2000 - 5000 million ,17,8.0,0,0,0,0,1,0,data scientist,na
4.0,1 - 50 Employees,Business consulting,Finance,Company - Private,10000+ million ,5,35.0,1,1,0,1,0,1,data scientist,na
4.1,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,6,17.0,0,0,0,0,0,0,na,na
3.4,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,5.0,0,0,0,0,0,0,data scientist,senior
4.1,51 - 200 Employees,HR Consulting,Human resources and staffing,Private Practice / Firm,10000+ million ,6,26.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,15,58.0,0,0,0,0,0,0,data scientist,senior
4.0,201 - 500 Employees,Information Technology Support Services,Finance,Company - Public,2000 - 5000 million ,17,78.0,0,0,0,0,0,0,na,na
4.4,201 - 500 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,17,44.0,0,0,0,0,0,0,data scientist,na
4.9,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Public,100 - 500 million ,17,27.0,0,0,0,1,0,0,mle,na
3.7,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,5,43.0,1,0,0,0,0,1,data scientist,na
4.0,1 - 50 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,5,31.0,0,0,0,0,0,0,data scientist,na
3.9,201 - 500 Employees,Business consulting,Manufacturing,Company - Public,10000+ million ,17,46.0,1,0,0,0,0,0,data scientist,na
4.2,201 - 500 Employees,Computer Hardware Development,Information Technology,Company - Private,5 - 25 million ,4,15.0,0,0,0,0,0,0,na,na
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,15,58.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,17,45.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,6,26.0,0,0,0,0,0,0,mle,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,17,12.0,1,0,0,1,0,0,na,na
4.0,1 - 50 Employees,Information Technology Support Services,Management and consulting,Private Practice / Firm,10000+ million ,6,47.0,1,0,0,0,0,1,data scientist,na
4.2,10000+ Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,17,7.0,0,0,0,0,0,0,na,na
4.3,10000+ Employees,Business consulting,Management and consulting,Company - Public,2000 - 5000 million ,17,22.0,1,1,0,0,0,1,na,na
3.7,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,5,43.0,1,0,0,0,0,1,na,na
3.4,201 - 500 Employees,Software Development,Information Technology,Company - Private,10000+ million ,7,9.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,2000 - 5000 million ,5,183.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,2000 - 5000 million ,5,11.0,1,1,0,0,0,0,data scientist,na
3.9,501 - 1000 Employees,Information Technology Support Services,Information Technology,Company - Private,1 - 5 million ,3,14.0,0,0,0,0,0,0,mle,na
4.1,51 - 200 Employees,HR Consulting,Human resources and staffing,Private Practice / Firm,10000+ million ,2,26.0,0,0,0,0,0,0,data scientist,na
3.7,5001 - 10000 Employees,Information Technology Support Services,Information Technology,Company - Private,100 - 500 million ,8,28.0,0,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Advertising & Public Relations,Media and communication,Subsidiary or Business Segment,100 - 500 million ,7,52.0,0,0,0,1,0,0,data scientist,senior
3.7,10000+ Employees,Business consulting,Management and consulting,Company - Private,100 - 500 million ,7,41.0,0,0,0,0,0,0,data scientist,senior
4.2,1001 - 5000 Employees,Internet & Web Services,Information Technology,Company - Private,2000 - 5000 million ,8,16.0,0,0,0,0,0,0,data scientist,senior
3.9,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,2000 - 5000 million ,17,18.0,0,0,0,0,0,0,data scientist,senior
3.9,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,6,5.0,0,0,0,0,0,0,data scientist,na
3.6,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,100 - 500 million ,7,9.0,0,0,0,0,0,0,data scientist,senior
4.0,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,4,16.0,1,0,0,0,0,0,director,na
4.1,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,6,25.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Information Technology Support Services,Management and consulting,Company - Public,2000 - 5000 million ,5,4.0,0,0,0,0,0,0,data scientist,senior
4.0,1 - 50 Employees,Business consulting,Finance,Company - Private,10000+ million ,5,16.0,1,0,0,0,0,0,data scientist,senior
3.7,10000+ Employees,Information Technology Support Services,Information Technology,Company - Private,2000 - 5000 million ,5,28.0,1,0,1,1,1,0,mle,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,7,49.0,0,0,1,0,0,0,data scientist,senior
4.0,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,7,24.0,0,0,0,0,0,0,data scientist,na
2.5,1 - 50 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,2000 - 5000 million ,4,9.0,1,0,0,0,0,0,mle,na
4.0,10000+ Employees,Information Technology Support Services,Finance,Company - Public,2000 - 5000 million ,17,66.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,6,26.0,0,0,0,0,0,0,na,na
3.6,10000+ Employees,Business consulting,Management and consulting,Company - Public,2000 - 5000 million ,10,56.0,0,0,0,0,0,0,na,na
2.4,201 - 500 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,2000 - 5000 million ,9,183.0,0,0,0,0,0,0,mle,na
4.0,1001 - 5000 Employees,Business consulting,Finance,Company - Private,10000+ million ,17,7.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,5,5.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Public,100 - 500 million ,6,26.0,0,0,0,0,0,0,na,na
4.0,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,6.0,0,0,0,0,0,0,na,na
3.9,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,5 - 25 million ,5,18.0,1,0,0,0,1,0,data scientist,na
4.0,10000+ Employees,Business consulting,Finance,Company - Public,2000 - 5000 million ,17,16.0,1,0,0,0,0,0,na,na
4.1,501 - 1000 Employees,Information Technology Support Services,Information Technology,Company - Private,25 - 50 million ,12,26.0,1,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,6,139.0,0,0,0,0,0,0,data scientist,na
4.0,51 - 200 Employees,Business consulting,Finance,Company - Private,10000+ million ,4,26.0,0,0,0,0,0,0,data scientist,na
4.7,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,17,9.0,0,0,0,0,0,0,na,senior
4.1,201 - 500 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,17,7.0,0,1,0,0,0,1,data scientist,na
3.8,10000+ Employees,Investment & Asset Management,Finance,Company - Public,10000+ million ,4,212.0,0,0,0,0,0,0,na,na
3.5,10000+ Employees,Enterprise Software & Network Solutions,Finance,Company - Public,2000 - 5000 million ,17,49.0,0,0,0,0,0,0,data scientist,senior
4.0,5001 - 10000 Employees,Advertising & Public Relations,Media and communication,Subsidiary or Business Segment,2000 - 5000 million ,8,55.0,0,0,0,0,0,0,data scientist,senior
4.0,1 - 50 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,4,35.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Electronics Manufacturing,Manufacturing,Company - Public,10000+ million ,7,141.0,0,0,0,0,0,0,data scientist,na
3.8,5001 - 10000 Employees,Information Technology Support Services,Information Technology,Company - Public,2000 - 5000 million ,3,183.0,0,0,0,0,0,0,analyst,senior
4.0,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,100 - 500 million ,5,11.0,0,0,0,0,0,0,na,na
3.3,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,25 - 50 million ,6,9.0,1,1,1,0,0,1,data scientist,senior
3.7,10000+ Employees,Enterprise Software & Network Solutions,Finance,Company - Public,100 - 500 million ,17,12.0,0,0,0,0,0,0,na,na
4.5,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,2000 - 5000 million ,11,52.0,0,0,0,0,0,0,data scientist,na
3.6,5001 - 10000 Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Company - Public,2000 - 5000 million ,5,70.0,0,0,0,0,0,0,data scientist,senior
4.1,10000+ Employees,Business consulting,Management and consulting,Company - Private,2000 - 5000 million ,6,174.0,0,0,0,0,0,0,data scientist,senior
4.1,10000+ Employees,Health Care Products Manufacturing,Manufacturing,Company - Public,10000+ million ,4,83.0,0,0,0,0,0,0,director,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Public,10000+ million ,6,7.0,1,0,0,0,0,1,na,na
4.3,51 - 200 Employees,Software Development,Information Technology,Company - Private,1 - 5 million ,6,28.0,1,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,43.0,0,0,0,0,0,0,na,na
4.0,51 - 200 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,7,17.0,1,1,0,0,0,1,data scientist,na
3.9,201 - 500 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,17,101.0,0,0,0,0,0,0,na,na
3.9,1001 - 5000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,100 - 500 million ,8,36.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,19,8.0,0,0,0,0,0,0,data scientist,na
5.0,1 - 50 Employees,HR Consulting,Human resources and staffing,Company - Private,10000+ million ,5,14.0,1,0,0,0,0,0,data scientist,na
3.9,201 - 500 Employees,Business consulting,Information Technology,Company - Public,10000+ million ,15,9.0,1,0,0,0,0,0,data scientist,na
4.2,10000+ Employees,Software Development,Information Technology,Company - Public,100 - 500 million ,6,21.0,0,0,0,0,0,0,data scientist,senior
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,2000 - 5000 million ,6,174.0,0,0,0,0,0,0,na,na
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,2000 - 5000 million ,6,12.0,0,0,0,0,0,0,data scientist,senior
3.7,51 - 200 Employees,Software Development,Information Technology,Company - Private,5 - 25 million ,9,10.0,0,0,0,0,0,0,data scientist,senior
4.1,10000+ Employees,Electronics Manufacturing,Manufacturing,Company - Public,10000+ million ,5,57.0,0,0,0,0,0,0,data scientist,na
3.6,1001 - 5000 Employees,Internet & Web Services,Information Technology,Company - Private,2000 - 5000 million ,6,9.0,0,0,0,0,0,0,data scientist,na
3.7,5001 - 10000 Employees,Information Technology Support Services,Information Technology,Company - Private,100 - 500 million ,8,17.0,0,0,0,0,1,0,data scientist,na
4.0,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,2000 - 5000 million ,5,16.0,0,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Public,10000+ million ,17,10.0,0,0,0,1,0,0,data scientist,na
3.9,201 - 500 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Public,10000+ million ,17,49.0,0,0,0,0,0,0,mle,na
4.2,1001 - 5000 Employees,Internet & Web Services,Information Technology,Company - Private,2000 - 5000 million ,8,16.0,1,0,0,0,0,0,data scientist,senior
4.1,10000+ Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,6,174.0,0,0,0,0,0,0,data scientist,na
4.2,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,4,7.0,0,0,0,0,0,0,data scientist,senior
3.8,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,5,47.0,0,0,0,0,0,0,na,na
4.3,501 - 1000 Employees,Information Technology Support Services,Information Technology,Company - Private,2000 - 5000 million ,4,14.0,0,0,0,0,0,0,mle,na
3.5,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,5 - 25 million ,9,7.0,0,0,0,0,0,0,mle,na
4.1,51 - 200 Employees,HR Consulting,Human resources and staffing,Private Practice / Firm,10000+ million ,6,26.0,0,0,0,0,0,0,data scientist,na
3.9,10000+ Employees,Banking & Lending,Finance,Company - Public,100 - 500 million ,4,55.0,0,0,0,0,0,0,na,na
4.0,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Public,100 - 500 million ,17,26.0,0,0,0,0,0,0,na,na
3.6,10000+ Employees,Business consulting,Finance,Company - Public,2000 - 5000 million ,17,66.0,0,0,0,1,0,0,na,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,3,49.0,0,0,1,1,0,0,manager,senior
4.2,5001 - 10000 Employees,Health Care Products Manufacturing,Manufacturing,Company - Public,10000+ million ,7,132.0,0,0,0,0,0,0,na,senior
4.1,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,101.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,3,66.0,0,0,0,0,0,0,data scientist,senior
4.0,501 - 1000 Employees,Investment & Asset Management,Finance,Company - Private,100 - 500 million ,5,14.0,0,0,0,0,1,0,data scientist,na
3.7,10000+ Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Company - Public,2000 - 5000 million ,2,34.0,0,0,0,0,0,0,data scientist,na
3.1,10000+ Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,17,10.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,40,58.0,0,0,0,0,0,0,data scientist,na
3.6,501 - 1000 Employees,Advertising & Public Relations,Media and communication,Company - Private,10000+ million ,9,14.0,0,0,0,0,0,0,data scientist,na
3.7,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,5,43.0,1,0,1,1,0,1,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,6,47.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Finance,Company - Public,2000 - 5000 million ,17,16.0,1,0,0,1,0,0,na,senior
4.1,5001 - 10000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,2000 - 5000 million ,5,44.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,6,225.0,0,0,0,0,0,0,analyst,na
4.1,51 - 200 Employees,HR Consulting,Human resources and staffing,Private Practice / Firm,10000+ million ,6,26.0,0,0,0,0,0,0,na,na
4.2,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,5 - 25 million ,4,12.0,0,0,0,0,0,0,data scientist,na
3.8,5001 - 10000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,5,14.0,0,0,0,0,0,0,data scientist,na
4.3,501 - 1000 Employees,Business consulting,Management and consulting,Company - Private,2000 - 5000 million ,5,45.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,17,24.0,0,0,0,0,0,0,data scientist,na
3.6,10000+ Employees,Business consulting,Finance,Company - Public,2000 - 5000 million ,17,9.0,0,1,1,0,0,0,na,na
4.0,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,17,28.0,1,0,0,0,0,0,data scientist,senior
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,5,43.0,0,0,0,0,0,0,data scientist,na
3.7,501 - 1000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,7,18.0,0,0,0,0,0,0,data scientist,na
4.1,201 - 500 Employees,Business consulting,Finance,Company - Public,10000+ million ,17,12.0,0,0,0,0,0,0,na,senior
3.1,10000+ Employees,Business consulting,Finance,Company - Public,2000 - 5000 million ,17,9.0,0,0,0,0,0,0,data engineer,na
4.0,201 - 500 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,17,40.0,0,0,0,0,0,0,data scientist,jr
4.0,1001 - 5000 Employees,Information Technology Support Services,Management and consulting,Company - Public,100 - 500 million ,7,11.0,1,0,0,1,0,1,data scientist,na
3.7,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,4,17.0,0,0,0,0,0,0,data scientist,na
4.1,1 - 50 Employees,HR Consulting,Human resources and staffing,Company - Private,10000+ million ,21,8.0,0,0,0,0,0,0,data scientist,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,4,49.0,0,0,1,0,0,0,data scientist,na
4.6,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,1 - 5 million ,3,79.0,0,0,0,0,1,0,mle,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,101.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Manufacturing,Company - Public,10000+ million ,3,225.0,0,0,0,1,0,0,na,na
4.1,10000+ Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Company - Public,10000+ million ,7,148.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,17,26.0,1,1,0,0,0,0,data scientist,na
4.1,51 - 200 Employees,Electronics Manufacturing,Manufacturing,Company - Private,10000+ million ,7,9.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Information Technology Support Services,Finance,Company - Public,10000+ million ,3,10.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,6,17.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,2000 - 5000 million ,6,22.0,0,0,0,0,0,0,na,na
5.0,51 - 200 Employees,Business consulting,Management and consulting,Private Practice / Firm,1 - 5 million ,7,7.0,0,0,0,0,0,0,na,na
3.9,10000+ Employees,Transportation Equipment Manufacturing,Manufacturing,Subsidiary or Business Segment,5000 - 10000 million ,6,19.0,1,1,0,1,0,0,data scientist,na
3.9,201 - 500 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,17,225.0,0,0,0,0,0,0,data scientist,na
3.5,10000+ Employees,Information Technology Support Services,Finance,Company - Public,2000 - 5000 million ,17,26.0,0,0,0,0,0,0,data scientist,senior
4.2,501 - 1000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,2,12.0,1,1,0,0,1,1,mle,na
4.0,1 - 50 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,7,86.0,0,0,0,0,0,0,data scientist,na
3.5,1001 - 5000 Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Subsidiary or Business Segment,2000 - 5000 million ,8,89.0,0,0,0,1,0,0,data engineer,na
4.0,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,5,225.0,0,0,0,0,0,0,data scientist,senior
4.1,1001 - 5000 Employees,Software Development,Information Technology,Company - Public,10000+ million ,2,12.0,0,0,0,0,0,0,data scientist,na
3.9,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,8.0,1,0,0,1,0,0,data scientist,na
3.7,10000+ Employees,Business consulting,Management and consulting,Company - Public,10000+ million ,17,7.0,0,0,0,0,0,0,data scientist,na
3.7,10000+ Employees,Internet & Web Services,Information Technology,Company - Public,10000+ million ,7,30.0,0,0,0,0,0,0,data scientist,senior
5.0,201 - 500 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Public,10000+ million ,1,15.0,0,0,0,0,0,0,data scientist,na
4.4,201 - 500 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Public,2000 - 5000 million ,17,19.0,1,0,0,0,0,1,data scientist,na
3.9,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,17,154.0,0,0,0,0,0,0,mle,senior
4.0,201 - 500 Employees,Business consulting,Management and consulting,Company - Public,10000+ million ,6,6.0,1,0,0,0,0,0,analyst,na
4.0,1001 - 5000 Employees,Business consulting,Manufacturing,Company - Public,2000 - 5000 million ,6,7.0,0,0,0,0,0,0,mle,na
4.0,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,5,9.0,0,0,0,0,0,0,analyst,na
4.6,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,11,15.0,1,0,0,0,0,1,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Public,100 - 500 million ,17,29.0,0,1,0,0,0,0,data scientist,senior
3.9,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Public,10000+ million ,17,7.0,0,0,0,0,0,0,na,na
3.8,10000+ Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,121.0,1,1,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,5,66.0,0,0,0,0,0,0,data scientist,na
4.3,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,8,8.0,0,0,0,0,0,0,data scientist,na
3.5,1001 - 5000 Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Subsidiary or Business Segment,2000 - 5000 million ,5,89.0,0,0,0,1,0,0,data scientist,na
3.5,1001 - 5000 Employees,Internet & Web Services,Information Technology,Company - Public,5000 - 10000 million ,6,11.0,0,0,0,1,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Business consulting,Information Technology,Company - Public,10000+ million ,17,86.0,1,1,1,0,0,1,data engineer,na
3.2,5001 - 10000 Employees,Health Care Products Manufacturing,Manufacturing,Subsidiary or Business Segment,2000 - 5000 million ,7,84.0,0,0,0,0,0,0,data scientist,na
4.2,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,8,85.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Company - Public,10000+ million ,9,148.0,0,0,0,0,0,0,data scientist,na
4.8,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,2000 - 5000 million ,7,7.0,0,0,0,0,0,0,data scientist,senior
4.0,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,10,28.0,0,0,0,0,1,0,na,na
4.7,10000+ Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,17,17.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,17,10.0,1,0,0,1,0,1,data scientist,na
3.8,501 - 1000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,8,11.0,0,0,0,0,0,0,data scientist,na
3.6,10000+ Employees,Business consulting,Manufacturing,Company - Public,2000 - 5000 million ,17,7.0,1,0,0,0,0,0,mle,na
3.8,501 - 1000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,8,11.0,1,1,1,0,0,1,data scientist,senior
4.0,1001 - 5000 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,9,12.0,1,0,0,0,0,0,analyst,na
